id,material,name,city,city_id,country,country_id,latitude,longitude,floors_above_ground,height,number_of_purposes,rank,is_completed,is_started
12,steel,The Illinois,Chicago,1539,US,163,0,0,528,1609.359985,4,1,TRUE,TRUE
62,composite,Chicago Spire,Chicago,1539,US,163,41.88988876,-87.61486053,150,609.5999756,1,2,TRUE,TRUE
68,composite,Miglin-Beitler Skyneedle,Chicago,1539,US,163,41.8816185,-87.63435364,125,609.4899902,1,3,TRUE,TRUE
98,composite,One World Trade Center,New York City,1641,US,163,40.71311188,-74.01335144,94,541.2999878,1,4,TRUE,TRUE
14269,concrete,Central Park Tower,New York City,1641,US,163,40.76636124,-73.9809494,95,541.0200195,3,5,TRUE,TRUE
16334,steel,World Trade Building,New York City,1641,US,163,40.75925827,-73.98947144,132,518,1,6,TRUE,TRUE
139,concrete,7 South Dearborn,Chicago,1539,US,163,41.88167953,-87.62890625,112,477.5499878,2,7,TRUE,TRUE
169,steel,Willis Tower,Chicago,1539,US,163,41.8788681,-87.63594818,108,442.1400146,1,8,TRUE,TRUE
14320,concrete,111 West 57th Street,New York City,1641,US,163,40.76480103,-73.97754669,80,438.2999878,1,9,TRUE,TRUE
187,composite,Bank of Southwest Tower,Houston,1593,US,163,29.75864983,-95.36681366,82,427.8699951,1,10,TRUE,TRUE
13227,concrete,432 Park Avenue,New York City,1641,US,163,40.76155853,-73.97186279,85,425.5,1,11,TRUE,TRUE
203,concrete,Trump International Hotel & Tower,Chicago,1539,US,163,41.88887024,-87.6264267,98,423.2200012,2,12,TRUE,TRUE
200,steel,One World Trade Center,New York City,1641,US,163,40.71208954,-74.01322174,110,417,1,13,TRUE,TRUE
202,steel,Two World Trade Center,New York City,1641,US,163,40.71099091,-74.01313019,110,415.1400146,1,14,TRUE,TRUE
209,composite,2 World Trade Center,New York City,1641,US,163,40.71213913,-74.01126862,79,411,1,15,TRUE,TRUE
19928,composite,2 World Trade Center,New York City,1641,US,163,40.71213913,-74.01126862,82,403.25,1,16,TRUE,TRUE
13325,steel/concrete,30 Hudson Yards,New York City,1641,US,163,40.75402069,-74.0008316,73,386.6099854,1,17,TRUE,TRUE
261,steel,Empire State Building,New York City,1641,US,163,40.74842072,-73.98560333,102,381,1,18,TRUE,TRUE
282,steel,Larkin Building,New York City,1641,US,163,40.7575798,-73.99160004,110,368.2000122,1,19,TRUE,TRUE
291,composite,Bank of America Tower,New York City,1641,US,163,40.75537872,-73.98435211,55,365.7999878,1,20,TRUE,TRUE
19850,steel,Block 142,Houston,1593,US,163,0,0,0,356.6199951,3,21,TRUE,TRUE
9401,concrete,Stratosphere Tower,Las Vegas,1610,US,163,36.1473999,-115.1554337,0,350.2200012,1,22,TRUE,TRUE
339,steel,Aon Center,Chicago,1539,US,163,41.88515854,-87.62145233,83,346.2600098,1,23,TRUE,TRUE
345,steel,John Hancock Center,Chicago,1539,US,163,41.8987999,-87.62306213,100,343.6900024,2,24,TRUE,TRUE
16192,composite,Comcast Innovation and Technology Center,Philadelphia,1657,US,163,39.9550209,-75.17028809,59,341.6799927,2,25,TRUE,TRUE
9686,composite,Wilshire Grand Center,Los Angeles,1611,US,163,34.04990005,-118.2600174,73,334.9700012,2,26,TRUE,TRUE
17720,steel,WITI TV Tower,Shorewood,2217,US,163,43.0906105,-87.89720917,0,329,1,27,TRUE,TRUE
273,composite,3 World Trade Center,New York City,1641,US,163,40.71086884,-74.01157379,80,328.8800049,1,28,TRUE,TRUE
317,concrete,53 West 53rd,New York City,1641,US,163,40.7618103,-73.97817993,77,320.0400085,1,29,TRUE,TRUE
400,concrete,Signature Tower,Nashville,1640,US,163,36.16259003,-86.7802124,77,320,2,30,TRUE,TRUE
420,concrete,Waterview Tower,Chicago,1539,US,163,41.88652039,-87.63143921,89,319.1400146,2,31,TRUE,TRUE
422,steel,Chrysler Building,New York City,1641,US,163,40.7516098,-73.97534943,77,318.8999939,1,32,TRUE,TRUE
423,steel,New York Times Tower,New York City,1641,US,163,40.75608826,-73.99004364,52,318.769989,1,33,TRUE,TRUE
8765,composite,3 Hudson Boulevard,New York City,1641,US,163,40.75595093,-74.00128174,66,315.1600037,2,34,TRUE,TRUE
429,composite,Bank of America Plaza,Atlanta,1509,US,163,33.7707901,-84.38601685,55,311.7999878,1,35,TRUE,TRUE
442,concrete,Empire World Condo Tower,Miami,1632,US,163,0,0,93,311.5100098,1,36,TRUE,TRUE
441,concrete,Empire World Apartment Tower,Miami,1632,US,163,0,0,93,311.5,2,37,TRUE,TRUE
445,steel,U.S. Bank Tower,Los Angeles,1611,US,163,34.05104065,-118.2543564,73,310.2900085,1,38,TRUE,TRUE
14315,concrete,125 Greenwich Street,New York City,1641,US,163,40.70946884,-74.0127182,60,310,1,39,TRUE,TRUE
465,composite,The Franklin - North Tower,Chicago,1539,US,163,41.88034821,-87.63475037,60,306.9400024,1,40,TRUE,TRUE
570,steel/concrete,One57,New York City,1641,US,163,40.76544189,-73.97907257,75,306.0700073,2,41,TRUE,TRUE
472,composite,JPMorgan Chase Tower,Houston,1593,US,163,29.76041985,-95.36390686,75,305.4100037,1,42,TRUE,TRUE
19910,concrete,Villa Magna I,Miami,1632,US,163,25.76107025,-80.18930817,0,303.2999878,1,43,TRUE,TRUE
19911,concrete,Villa Magna II,Miami,1632,US,163,25.76143074,-80.1892395,0,303.2999878,1,43,TRUE,TRUE
489,concrete,Two Prudential Plaza,Chicago,1539,US,163,41.88536835,-87.62258148,64,303.2799988,1,45,TRUE,TRUE
493,steel,Wells Fargo Plaza,Houston,1593,US,163,29.75844955,-95.36826324,71,302.3699951,1,46,TRUE,TRUE
545,composite,4 World Trade Center,New York City,1641,US,163,40.71031952,-74.01217651,65,297.730011,1,47,TRUE,TRUE
546,composite,Comcast Center,Philadelphia,1657,US,163,39.95473862,-75.16847992,57,296.730011,1,48,TRUE,TRUE
563,concrete,311 South Wacker Drive,Chicago,1539,US,163,41.87739182,-87.63555908,65,292.9200134,1,49,TRUE,TRUE
18405,steel,70 Pine,New York City,1641,US,163,40.70634079,-74.00766754,67,290.1700134,1,50,TRUE,TRUE
12389,concrete,SNCI NYC Tower,New York City,1641,US,163,0,0,57,289.5599976,1,51,TRUE,TRUE
585,composite,Key Tower,Cleveland,1543,US,163,41.50099945,-81.69390869,57,288.6499939,1,52,TRUE,TRUE
593,steel,One Liberty Place,Philadelphia,1657,US,163,39.95256042,-75.1681366,61,288.0400085,1,53,TRUE,TRUE
652,concrete,30 Park Place,New York City,1641,US,163,40.71274948,-74.00907898,67,285.6000061,2,54,TRUE,TRUE
611,composite,Columbia Center,Seattle,1680,US,163,47.60464096,-122.3305969,76,284.3800049,1,55,TRUE,TRUE
619,steel,The Trump Building,New York City,1641,US,163,40.70692062,-74.00980377,71,282.5499878,1,56,TRUE,TRUE
630,composite,Bank of America Plaza,Dallas,1554,US,163,32.78004074,-96.80393982,72,280.7200012,1,57,TRUE,TRUE
648,steel,Citigroup Center,New York City,1641,US,163,40.75857162,-73.97038269,63,278.8999939,1,58,TRUE,TRUE
14783,concrete,15 Hudson Yards,New York City,1641,US,163,40.75352859,-74.00289917,70,278.5799866,1,59,TRUE,TRUE
9263,concrete,Dallas Tower,Dallas,1554,US,163,0,0,0,278.2799988,2,60,TRUE,TRUE
661,steel,Williams Tower,Houston,1593,US,163,29.73719025,-95.46121216,64,274.6300049,1,61,TRUE,TRUE
14787,composite,425 Park Avenue,New York City,1641,US,163,40.7604599,-73.97109985,42,272.2000122,1,62,TRUE,TRUE
16020,steel,888 2nd Avenue,Seattle,1680,US,163,47.6043396,-122.3336105,60,270.6600037,2,63,TRUE,TRUE
683,steel,Renaissance Tower,Dallas,1554,US,163,32.78126144,-96.80191803,56,270.0599976,1,64,TRUE,TRUE
13326,composite,10 Hudson Yards,New York City,1641,US,163,40.75284958,-74.00132751,52,267.6700134,1,65,TRUE,TRUE
711,concrete,Bank of America Corporate Center,Charlotte,1544,US,163,35.22729111,-80.84208679,60,265.480011,1,66,TRUE,TRUE
699,concrete,Eight Spruce Street,New York City,1641,US,163,40.71086121,-74.00566864,76,265.1799927,1,67,TRUE,TRUE
708,concrete/steel,900 North Michigan Avenue,Chicago,1539,US,163,41.8996582,-87.62471008,66,265,4,68,TRUE,TRUE
15189,composite,Energy Tower at City Center,Midland,1624,US,163,31.99797058,-102.0762329,53,264.9599915,3,69,TRUE,TRUE
724,concrete,SunTrust Plaza,Atlanta,1509,US,163,33.76269913,-84.38646698,60,264.25,1,70,TRUE,TRUE
735,concrete,Trump World Tower,New York City,1641,US,163,40.75252151,-73.96766663,72,262.4400024,1,71,TRUE,TRUE
739,concrete,Water Tower Place,Chicago,1539,US,163,41.89796829,-87.62284088,74,261.8800049,3,72,TRUE,TRUE
886,concrete,Aqua,Chicago,1539,US,163,41.88647842,-87.61991882,86,261.75,2,73,TRUE,TRUE
744,steel,Aon Center,Los Angeles,1611,US,163,34.04922867,-118.2568665,62,261.519989,1,74,TRUE,TRUE
772,composite,Transamerica Pyramid,San Francisco,1683,US,163,37.79523849,-122.4027328,48,260,1,75,TRUE,TRUE
775,steel,Comcast Building,New York City,1641,US,163,40.75899124,-73.97939301,70,259.0799866,1,76,TRUE,TRUE
779,steel,Chase Tower,Chicago,1539,US,163,41.88161087,-87.63024139,60,259.0799866,1,77,TRUE,TRUE
783,steel,Two Liberty Place,Philadelphia,1657,US,163,39.95169067,-75.16742706,58,258.4700012,2,78,TRUE,TRUE
793,concrete,Park Tower,Chicago,1539,US,163,41.89702988,-87.62513733,68,257.3500061,2,79,TRUE,TRUE
623,concrete,Devon Energy Center,Oklahoma City,1645,US,163,35.46686172,-97.51763153,52,257.230011,1,80,TRUE,TRUE
17153,concrete,Banco Santander Tower,Miami,1632,US,163,25.75996971,-80.1919632,52,257,1,81,TRUE,TRUE
17214,concrete,One Bennett Park,Chicago,1539,US,163,41.89157867,-87.61560822,67,256.9500122,1,82,TRUE,TRUE
801,steel,U.S. Steel Tower,Pittsburgh,1661,US,163,40.44129181,-79.99463654,64,256.3399963,1,83,TRUE,TRUE
16055,concrete,One Manhattan Square,New York City,1641,US,163,40.71046829,-73.99124146,68,253.3000031,1,84,TRUE,TRUE
829,concrete,Met 3,Miami,1632,US,163,25.77211952,-80.18953705,76,252.3800049,1,85,TRUE,TRUE
781,concrete,Panorama Tower,Miami,1632,US,163,25.76324081,-80.1904068,80,250.5500031,2,86,TRUE,TRUE
844,concrete,56 Leonard Street,New York City,1641,US,163,40.71760941,-74.0063324,57,250.2400055,1,87,TRUE,TRUE
874,composite,One Atlantic Center,Atlanta,1509,US,163,33.78701019,-84.38733673,50,249.9400024,1,88,TRUE,TRUE
887,concrete,The Legacy at Millennium Park,Chicago,1539,US,163,41.88135147,-87.62564087,73,249.3300018,1,89,TRUE,TRUE
895,concrete,CitySpire,New York City,1641,US,163,40.7641983,-73.97969818,75,248.1100006,2,90,TRUE,TRUE
900,steel,28 Liberty,New York City,1641,US,163,40.70782089,-74.00904846,60,247.8099976,2,91,TRUE,TRUE
907,steel,4 Times Square,New York City,1641,US,163,40.75593948,-73.9858017,48,246.5399933,1,92,TRUE,TRUE
909,steel,MetLife Building,New York City,1641,US,163,40.75342178,-73.97666931,59,246.2799988,1,93,TRUE,TRUE
917,concrete/steel,Bloomberg Tower,New York City,1641,US,163,40.76174164,-73.96798706,54,245.6199951,2,94,TRUE,TRUE
664,steel,181 Fremont,San Francisco,1683,US,163,37.78974915,-122.3951569,54,244.4499969,2,95,TRUE,TRUE
971,composite,Mellon Bank Center,Philadelphia,1657,US,163,39.95357895,-75.16954803,54,241.4100037,1,96,TRUE,TRUE
969,steel,Woolworth Building,New York City,1641,US,163,40.7123909,-74.0082016,57,241.3999939,1,97,TRUE,TRUE
968,composite,IDS Tower,Minneapolis,1627,US,163,44.9759903,-93.27263641,55,241.3800049,1,98,TRUE,TRUE
973,concrete,Grant Park Tower III,Chicago,1539,US,163,41.86708832,-87.62303925,73,241,1,99,TRUE,TRUE
974,steel,200 Clarendon,Boston,1524,US,163,42.34931946,-71.07510376,62,240.7899933,1,100,TRUE,TRUE
977,concrete,Four Seasons Hotel & Tower,Miami,1632,US,163,25.75902939,-80.19177246,64,240.4100037,3,101,TRUE,TRUE
984,composite,Comerica Bank Tower,Dallas,1554,US,163,32.78163147,-96.79631805,60,239.8800049,1,102,TRUE,TRUE
1077,concrete/steel,Duke Energy Center,Charlotte,1544,US,163,35.22389984,-80.84860229,48,239.6999969,1,103,TRUE,TRUE
1009,composite,300 North LaSalle,Chicago,1539,US,163,41.88822174,-87.63317108,60,239.1199951,1,104,TRUE,TRUE
